,ngram,annotated hyponyms
1,crocodile,n01697611 n01697457 n01697178 n01697749
2,disc,n03694639 n03924069 n04178190
3,skin,n05584746 n05526957 n05581932 n05539947 n05238282 n05239437 n01458746
4,dish,n04556664 n04130257 n04050933 n03920288 n03062336 n03456024 n04499062 n04242704 n04176190 n03775546 n03341606 n03984759 n02880940 n02997910 n03105214 n04263257 n03206908 n02978753 n04350581 n02927764 n04023695
5,chair,n03002210 n03168217 n04381450 n03790953 n04331277 n03632729 n04593077 n03376595 n03962932 n03325403 n04429376 n03518445 n04099969 n02983904 n04373704 n02791124 n03262932 n03649674 n03001627 n02738535 n03260849 n04590933 n03335333 n02957862 n02946270 n04062428 n03002711 n03786621 n02876326 n02806762 n04610176 n04576002
6,carpet,n04144539 n04183217 n03998194 n03629100 n04121426 n02904233 n03835729 n04066270 n03248835 n04297847 n04585128 n02908773 n03507458 n04118021 n03374102
7,tv,n04405907
8,swan,n01858906 n01858845 n01860002 n01859689 n01858281 n01859190 n01858780 n01859325 n01860187 n01859852 n01859496 n01858441
9,bike,n03792782 n04126066 n02835271 n04026813 n03853924 n02834778 n04524716
10,trousers,n04337287 n03029296 n04370288 n03653833 n03019434 n04233715 n02902816 n03970363 n04205318 n03357081 n03903733 n02825442 n02831595 n03877674 n03884554 n04489008 n03600285 n03594734 n03660124 n04491934 n04480303 n03543112 n04132158 n02896442 n03107488 n03688605 n02910864
12,woman,n09905530 n09861599 n10311661 n10368528 n10092794 n10117851 n10173410 n10787470 n10280034 n10038119 n10279778 n10323752 n10222170 n10243137 n10302700 n10302576 n10222259 n10282482 n10303037 n09834258 n10472129 n10636488 n10663315 n10332953 n10333044 n10025635 n10597889 n10780284 n09847543 n10745770 n10020366 n10592049 n10345100 n10119609 n10539160 n10366145 n10183347 n09889065 n10771066 n10613996 n10756061 n09874862 n10095420 n10129338 n10598181 n10130686 n09827363 n09919451 n09832456 n09637339 n10055410 n10020533 n10247358 n10791115 n10377021 n09981278 n10375314 n10130877 n10703221 n10685398 n10129825 n10142166 n09936825 n10368624 n10304086 n10715030 n10780632
13,garden,n04454908 n03902482 n03417345
14,screwdriver,n04154565 n03361683 n03923692 n04279987
15,vase,n04516116 n04522168
16,spoon,n04263502 n04398688 n04119630 n04350769 n04597913 n04284002 n03557270 n04397860 n04381073 n03180384
17,fan,n03320046 n03271574 n02755984 n03303217
20,stapler,n04303497
21,cable,n03995535 n03268918 n04004990 n03331599 n03059366 n03300443 n02934168
22,policeman,n10448322 n10312491 n10208847 n10123122 n10009276 n09862621 n10333838 n10540114 n10730728 n10730542 n10721321
24,gun,n03416775 n04585980 n03423306 n02907656 n04314522 n04206356 n04090263 n02896856 n03732020 n02760429 n04177041 n03429137 n02897097 n03732543 n02950826 n02749479 n02950482 n04086273 n03467984 n03408264 n03948459 n03389983 n04093775 n02923682 n04140539 n04250224 n04267091 n03427202 n03803116 n04615149 n03701391 n03178674 n02814116 n04450133 n04247544 n04171459 n03073296 n02715712 n04502851 n03802007 n03343853 n04517211 n02863536 n02856237 n02689274 n04502989 n03875955 n04574606 n03363749 n03729482 n04503073 n03695857 n04171629 n02759963 n03667552 n02961451 n02742070 n04138869 n03231819 n04347519 n03386343 n02760855 n02907391 n03607659 n03539293 n04530456 n03147084 n02760658 n04076284
25,saxophone,n04141076
26,bulldozer,n02916179 n02712643
27,bicycle,n03792782 n04126066 n02835271 n04026813 n03853924 n02834778 n04524716
28,fence,n04547592 n04006330 n02771547 n03000134 n03252637 n03511175 n04046974 n04571686 n04604644 n04082710 n04586072 n03895038 n03930313 n04326547 n03327234
29,tea,n07933891 n07933652 n07933799 n07933274 n07934373 n07934282 n07934152 n07934032
31,street,n04334599
32,video,n04534520 n04534127 n04533700
34,Farmer,n10438619 n09846755 n10078806 n09873899 n10104756 n09613118 n09779790
35,umbrella,n04507155 n03415252
36,cactus,n11849983 n11853813 n11848479 n11844892 n11848867 n11851839 n11851578 n11852028 n11851258 n11847169 n11849271 n11852148 n11849871 n11845793 n11850521 n11853356 n11846312 n11854479 n11844371 n11843441 n11853079 n11846765 n11845913 n11845557 n11846425 n11850918
37,panda,n02510455
38,clock,n03452594 n03145147 n03046257 n03196217 n02694662 n04548280 n02708093 n04502059 n03271260 n03909406 n04437276 n03027001
39,sun,n09450163
40,revolver,n03073296 n04086273
41,suv,n04285965
